"","X","Ngram","n","result"
"1",1,"g protein g carbohydrate",311,"g"
"2",2,"interests vested interests vested",250,"interests"
"3",3,"vested interests vested interests",250,"vested"
"4",4,"protein g carbohydrate g",219,"fat"
"5",5,"calories g protein g",218,"carbohydrate"
"6",6,"content provided subject change",214,"removal"
"7",7,"provided subject change removal",214,"time"
"8",8,"advertising fees advertising linking",213,"amazoncom"
"9",9,"advertising linking amazoncom amazonca",213,"amazoncouk"
"10",10,"amazon eu associates programmes",213,"designed"
"11",11,"amazon eu content provided",213,"subject"
"12",12,"amazon services llc amazon",213,"eu"
"13",13,"amazon services llc andor",213,"amazon"
"14",14,"amazonca amazoncouk amazonde amazonfr",213,"amazonit"
"15",15,"amazoncom amazonca amazoncouk amazonde",213,"amazonfr"
"16",16,"amazoncouk amazonde amazonfr amazonit",213,"amazones"
"17",17,"amazonde amazonfr amazonit amazones",213,"certain"
"18",18,"amazones certain content appears",213,"website"
"19",19,"amazonfr amazonit amazones certain",213,"content"
"20",20,"amazonit amazones certain content",213,"appears"
"21",21,"andor amazon eu content",213,"provided"
"22",22,"appears website comes amazon",213,"services"
"23",23,"associates programmes designed provide",213,"means"
"24",24,"certain content appears website",213,"comes"
"25",25,"comes amazon services llc",213,"andor"
"26",26,"content appears website comes",213,"amazon"
"27",27,"designed provide means sites",213,"earn"
"28",28,"earn advertising fees advertising",213,"linking"
"29",29,"eu associates programmes designed",213,"provide"
"30",30,"eu content provided subject",213,"change"
"31",31,"fees advertising linking amazoncom",213,"amazonca"
"32",32,"linking amazoncom amazonca amazoncouk",213,"amazonde"
"33",33,"llc amazon eu associates",213,"programmes"
"34",34,"llc andor amazon eu",213,"content"
"35",35,"means sites earn advertising",213,"fees"
"36",36,"participant amazon services llc",213,"amazon"
"37",37,"programmes designed provide means",213,"sites"
"38",38,"provide means sites earn",213,"advertising"
"39",39,"services llc amazon eu",213,"associates"
"40",40,"services llc andor amazon",213,"eu"
"41",41,"sites earn advertising fees",213,"advertising"
"42",42,"website comes amazon services",213,"llc"
"43",43,"carbohydrate g fat g",208,"saturated"
"44",44,"g carbohydrate g fat",206,"g"
"45",45,"saturated mg cholesterol mg",202,"sodium"
"46",46,"fat g saturated mg",201,"cholesterol"
"47",47,"g fat g saturated",200,"mg"
"48",48,"g saturated mg cholesterol",199,"mg"
"49",49,"calories g fat g",181,"saturated"
"50",50,"mg cholesterol mg sodium",178,"g"
"51",51,"serving calories g protein",178,"g"
"52",52,"cholesterol mg sodium g",177,"fiber"
"53",53,"per serving calories g",172,"protein"
"54",54,"registered trademark registered trademark",147,"registered"
"55",55,"trademark registered trademark registered",147,"trademark"
"56",56,"mg cholesterol g protein",145,"g"
"57",57,"fat mg cholesterol g",144,"protein"
"58",58,"chicago illinois incorporated item",137,"c"
"59",59,"illinois incorporated item c",136,"pp"
"60",60,"g saturated fat mg",130,"cholesterol"
"61",61,"port authority new york",129,"new"
"62",62,"authority new york new",126,"jersey"
"63",63,"fat g saturated fat",126,"mg"
"64",64,"g fat g saturated",126,"fat"
"65",65,"per serving calories g",126,"fat"
"66",66,"saturated fat mg cholesterol",116,"g"
"67",67,"cholesterol g protein g",109,"carbohydrate"
"68",68,"secretary state hillary rodham",103,"clinton"
"69",69,"level mp cost duration",102,"seconds"
"70",70,"university chicago chicago illinois",93,"incorporated"
"71",71,"senate president stephen sweeney",92,"dgloucester"
"72",72,"chicago chicago illinois incorporated",91,"item"
"73",73,"g protein g fiber",87,"mg"
"74",74,"protein g fiber mg",87,"sodium"
"75",75,"bar reservations credit cards",86,"accepted"
"76",76,"full bar reservations credit",86,"cards"
"77",77,"stylebackground none repeat scroll",85,"yellow"
"78",78,"senate majority leader harry",84,"reid"
"79",79,"former house speaker newt",83,"gingrich"
"80",80,"national highway traffic safety",81,"administration"
"81",81,"cholesterol g carbohydrate g",80,"protein"
"82",82,"g carbohydrate g protein",78,"g"
"83",83,"mg cholesterol g carbohydrate",78,"g"
"84",84,"carbohydrate g protein g",77,"fiber"
"85",85,"calories calories fat percent",76,"total"
"86",86,"calories fat percent total",76,"calories"
"87",87,"fat percent total calories",76,"g"
"88",88,"g fat g saturated",76,"g"
"89",89,"percent total calories g",76,"fat"
"90",90,"total calories g fat",76,"g"
"91",91,"fat g saturated g",74,"trans"
"92",92,"g trans fats mg",74,"cholesterol"
"93",93,"trans fats mg cholesterol",74,"g"
"94",94,"g saturated g trans",73,"fats"
"95",95,"saturated g trans fats",73,"mg"
"96",96,"fats mg cholesterol g",72,"carbohydrate"
"97",97,"new jersey gov chris",72,"christie"
"98",98,"assembly speaker sheila oliver",71,"dessex"
"99",99,"fiber mg sodium mg",70,"calcium"
